Categoria,Nome do Produto,Descrição,Preço Base (R$),Imposto de Importação (%),ICMS (%),IPI (%),PIS (%),COFINS (%),Total de Impostos (%),Preço Final c/ Impostos (R$)
Impressora,Canon Impressora Modelo 354,"Impressora da marca Canon, modelo avançado com alta performance para aplicações diversas.",5387.16,20.69,12.53,3.23,0.94,4.84,42.23,766.22
Fonte,EVGA Fonte Modelo 496,"Fonte da marca EVGA, modelo avançado com alta performance para aplicações diversas.",2585.78,11.9,7.84,0.1,1.32,3.97,25.13,323.56
Teclado,Redragon Teclado Modelo 592,"Teclado da marca Redragon, modelo avançado com alta performance para aplicações diversas.",538.07,12.94,14.39,6.7,0.67,3.85,38.55,74.55
Suporte Monitor,Furitec Suporte Monitor Modelo 840,"Suporte Monitor da marca Furitec, modelo avançado com alta performance para aplicações diversas.",1091.6,28.81,12.53,0.38,0.96,5.48,48.16,161.73
Teclado,Redragon Teclado Modelo 252,"Teclado da marca Redragon, modelo avançado com alta performance para aplicações diversas.",3020.76,17.37,6.01,9.61,1.52,5.91,40.42,424.18
Controle Console,Microsoft Controle Console Modelo 916,"Controle Console da marca Microsoft, modelo avançado com alta performance para aplicações diversas.",5404.51,33.83,14.65,5.4,1.54,6.77,62.19,876.56
Teclado,Redragon Teclado Modelo 739,"Teclado da marca Redragon, modelo avançado com alta performance para aplicações diversas.",1609.42,24.8,9.01,2.66,0.92,4.21,41.6,227.89
Controle Console,Sony Controle Console Modelo 838,"Controle Console da marca Sony, modelo avançado com alta performance para aplicações diversas.",2990.32,38.35,17.49,4.73,0.75,3.95,65.27,494.21
Processador,AMD Processador Modelo 279,"Processador da marca AMD, modelo avançado com alta performance para aplicações diversas.",2641.7,24.74,7.52,8.05,0.93,5.85,47.09,388.57
Placa de Vídeo,NVIDIA Placa de Vídeo Modelo 121,"Placa de Vídeo da marca NVIDIA, modelo avançado com alta performance para aplicações diversas.",4301.53,15.73,8.35,4.46,1.45,6.91,36.9,588.88
Cooler,Cooler Master Cooler Modelo 959,"Cooler da marca Cooler Master, modelo avançado com alta performance para aplicações diversas.",1875.62,39.12,7.67,1.59,1.63,3.87,53.88,288.62
HD,WD HD Modelo 388,"HD da marca WD, modelo avançado com alta performance para aplicações diversas.",4475.46,27.43,15.68,2.74,1.4,3.97,51.22,676.78
Controle Console,Microsoft Controle Console Modelo 571,"Controle Console da marca Microsoft, modelo avançado com alta performance para aplicações diversas.",171.88,18.66,15.32,9.06,1.2,6.13,50.37,25.85
Headset,Razer Headset Modelo 387,"Headset da marca Razer, modelo avançado com alta performance para aplicações diversas.",2200.92,21.22,6.24,6.19,1.62,4.72,39.99,308.11
Processador,Intel Processador Modelo 722,"Processador da marca Intel, modelo avançado com alta performance para aplicações diversas.",2252.8,28.53,13.67,4.52,0.73,4.18,51.63,341.59
SSD,Kingston SSD Modelo 496,"SSD da marca Kingston, modelo avançado com alta performance para aplicações diversas.",388.75,22.78,16.39,3.48,0.99,4.53,48.17,57.6
Cooler,Cooler Master Cooler Modelo 439,"Cooler da marca Cooler Master, modelo avançado com alta performance para aplicações diversas.",1978.29,31.48,5.78,5.16,1.28,4.4,48.1,292.98
SSD,Kingston SSD Modelo 779,"SSD da marca Kingston, modelo avançado com alta performance para aplicações diversas.",2526.3,38.04,5.81,8.8,1.33,7.05,61.03,406.81
Console,Sony Console Modelo 152,"Console da marca Sony, modelo avançado com alta performance para aplicações diversas.",1437.12,16.24,17.41,4.16,1.16,5.72,44.69,207.94
Cooler,Thermaltake Cooler Modelo 384,"Cooler da marca Thermaltake, modelo avançado com alta performance para aplicações diversas.",3288.52,36.64,15.58,4.78,1.44,6.15,64.59,541.26
SSD,Kingston SSD Modelo 576,"SSD da marca Kingston, modelo avançado com alta performance para aplicações diversas.",265.71,22.4,7.23,4.93,1.47,6.12,42.15,37.77
Processador,AMD Processador Modelo 229,"Processador da marca AMD, modelo avançado com alta performance para aplicações diversas.",2448.54,23.17,7.47,9.31,0.82,6.0,46.77,359.37
Cooler,Thermaltake Cooler Modelo 789,"Cooler da marca Thermaltake, modelo avançado com alta performance para aplicações diversas.",1932.06,29.83,5.79,9.56,1.08,4.63,50.89,291.53
Webcam,Redragon Webcam Modelo 308,"Webcam da marca Redragon, modelo avançado com alta performance para aplicações diversas.",4480.17,20.58,16.61,2.73,1.46,5.93,47.31,659.97
HD,WD HD Modelo 647,"HD da marca WD, modelo avançado com alta performance para aplicações diversas.",1625.42,14.45,9.39,7.39,1.46,6.42,39.11,226.11
Notebook,HP Notebook Modelo 493,"Notebook da marca HP, modelo avançado com alta performance para aplicações diversas.",4103.39,23.2,12.12,8.86,1.36,6.71,52.25,624.74
Monitor,AOC Monitor Modelo 532,"Monitor da marca AOC, modelo avançado com alta performance para aplicações diversas.",2964.82,30.77,16.1,6.62,1.47,6.79,61.75,479.56
Fonte,Corsair Fonte Modelo 699,"Fonte da marca Corsair, modelo avançado com alta performance para aplicações diversas.",1895.15,16.41,17.3,3.27,0.89,5.68,43.55,272.05
Cooler,Thermaltake Cooler Modelo 462,"Cooler da marca Thermaltake, modelo avançado com alta performance para aplicações diversas.",2467.09,36.81,8.6,6.73,1.58,7.04,60.76,396.61
Notebook,HP Notebook Modelo 262,"Notebook da marca HP, modelo avançado com alta performance para aplicações diversas.",5203.76,23.29,10.19,4.37,1.34,4.71,43.9,748.82
Placa-mãe,MSI Placa-mãe Modelo 798,"Placa-mãe da marca MSI, modelo avançado com alta performance para aplicações diversas.",3882.05,10.2,16.43,4.86,0.78,6.09,38.36,537.12
Processador,Intel Processador Modelo 274,"Processador da marca Intel, modelo avançado com alta performance para aplicações diversas.",2753.22,14.07,14.95,9.98,0.87,5.43,45.3,400.04
Mesa Gamer,ThunderX3 Mesa Gamer Modelo 757,"Mesa Gamer da marca ThunderX3, modelo avançado com alta performance para aplicações diversas.",1618.88,14.58,15.51,5.7,1.19,4.4,41.38,228.88
Impressora,Canon Impressora Modelo 923,"Impressora da marca Canon, modelo avançado com alta performance para aplicações diversas.",2893.64,12.82,14.81,9.26,1.31,3.0,41.2,408.58
Placa de Vídeo,AMD Placa de Vídeo Modelo 458,"Placa de Vídeo da marca AMD, modelo avançado com alta performance para aplicações diversas.",5776.95,21.55,11.4,0.17,1.34,5.71,40.17,809.76
Notebook,HP Notebook Modelo 721,"Notebook da marca HP, modelo avançado com alta performance para aplicações diversas.",5859.59,37.49,15.15,1.21,1.31,3.3,58.46,928.51
Teclado,Razer Teclado Modelo 965,"Teclado da marca Razer, modelo avançado com alta performance para aplicações diversas.",1758.21,24.37,12.96,5.52,1.17,6.72,50.74,265.03
Console,Nintendo Console Modelo 182,"Console da marca Nintendo, modelo avançado com alta performance para aplicações diversas.",2489.65,23.74,9.25,2.44,0.96,4.78,41.17,351.46
HD,Toshiba HD Modelo 941,"HD da marca Toshiba, modelo avançado com alta performance para aplicações diversas.",5491.17,33.2,13.25,5.43,1.07,4.03,56.98,862.0
Impressora,HP Impressora Modelo 171,"Impressora da marca HP, modelo avançado com alta performance para aplicações diversas.",207.34,38.22,8.87,0.75,0.7,3.22,51.76,31.47
Mesa Gamer,Mymax Mesa Gamer Modelo 322,"Mesa Gamer da marca Mymax, modelo avançado com alta performance para aplicações diversas.",3682.32,27.33,15.44,4.31,0.75,4.59,52.42,561.26
Monitor,AOC Monitor Modelo 542,"Monitor da marca AOC, modelo avançado com alta performance para aplicações diversas.",5387.16,28.12,5.18,4.65,1.27,4.03,43.25,771.71
HD,WD HD Modelo 475,"HD da marca WD, modelo avançado com alta performance para aplicações diversas.",3871.4,35.14,6.19,2.63,1.22,6.07,51.25,585.55
Gabinete,Thermaltake Gabinete Modelo 276,"Gabinete da marca Thermaltake, modelo avançado com alta performance para aplicações diversas.",5800.84,36.0,16.3,0.29,0.9,7.12,60.61,931.67
Mouse,Corsair Mouse Modelo 451,"Mouse da marca Corsair, modelo avançado com alta performance para aplicações diversas.",524.2,38.75,12.16,5.84,1.46,4.99,63.2,85.55
Impressora,HP Impressora Modelo 782,"Impressora da marca HP, modelo avançado com alta performance para aplicações diversas.",4417.71,21.69,6.76,9.14,1.26,6.78,45.63,643.35
Controle Console,Sony Controle Console Modelo 682,"Controle Console da marca Sony, modelo avançado com alta performance para aplicações diversas.",4061.91,15.38,7.06,0.06,1.55,4.49,28.54,522.12
Webcam,Microsoft Webcam Modelo 123,"Webcam da marca Microsoft, modelo avançado com alta performance para aplicações diversas.",2441.02,26.4,12.97,2.46,1.06,4.17,47.06,358.98
Webcam,Microsoft Webcam Modelo 916,"Webcam da marca Microsoft, modelo avançado com alta performance para aplicações diversas.",604.29,32.92,17.06,7.6,0.99,3.8,62.37,98.12
Mouse,Corsair Mouse Modelo 280,"Mouse da marca Corsair, modelo avançado com alta performance para aplicações diversas.",4382.95,36.49,6.93,9.29,0.95,3.96,57.62,690.84
Processador,AMD Processador Modelo 849,"Processador da marca AMD, modelo avançado com alta performance para aplicações diversas.",1327.44,10.56,8.73,4.26,1.17,6.32,31.04,173.95
Suporte Monitor,Multivisão Suporte Monitor Modelo 264,"Suporte Monitor da marca Multivisão, modelo avançado com alta performance para aplicações diversas.",717.35,36.49,17.46,4.53,1.37,4.08,63.93,117.6
Placa-mãe,Gigabyte Placa-mãe Modelo 585,"Placa-mãe da marca Gigabyte, modelo avançado com alta performance para aplicações diversas.",604.84,34.65,12.49,2.09,1.03,4.52,54.78,93.62
SSD,Kingston SSD Modelo 585,"SSD da marca Kingston, modelo avançado com alta performance para aplicações diversas.",4165.18,37.59,17.42,5.05,1.45,6.18,67.69,698.46
HD,WD HD Modelo 826,"HD da marca WD, modelo avançado com alta performance para aplicações diversas.",3524.01,19.92,9.77,4.24,0.94,5.53,40.4,494.77
Cooler,Thermaltake Cooler Modelo 858,"Cooler da marca Thermaltake, modelo avançado com alta performance para aplicações diversas.",3994.6,28.15,16.34,4.08,0.87,6.08,55.52,621.24
Monitor,Samsung Monitor Modelo 548,"Monitor da marca Samsung, modelo avançado com alta performance para aplicações diversas.",1140.4,22.15,8.38,0.41,1.04,7.24,39.22,158.77
Gabinete,Cooler Master Gabinete Modelo 984,"Gabinete da marca Cooler Master, modelo avançado com alta performance para aplicações diversas.",3523.03,32.33,12.59,3.3,1.58,4.1,53.9,542.19
Impressora,Epson Impressora Modelo 296,"Impressora da marca Epson, modelo avançado com alta performance para aplicações diversas.",295.61,29.37,6.21,3.55,1.62,7.24,47.99,43.75
Console,Sony Console Modelo 606,"Console da marca Sony, modelo avançado com alta performance para aplicações diversas.",3983.3,29.18,11.44,9.47,0.94,6.94,57.97,629.24
Placa de Vídeo,NVIDIA Placa de Vídeo Modelo 509,"Placa de Vídeo da marca NVIDIA, modelo avançado com alta performance para aplicações diversas.",2408.99,15.8,5.53,7.58,1.31,5.8,36.02,327.67
Monitor,AOC Monitor Modelo 498,"Monitor da marca AOC, modelo avançado com alta performance para aplicações diversas.",1806.72,32.15,7.7,8.82,0.71,5.01,54.39,278.94
Processador,AMD Processador Modelo 743,"Processador da marca AMD, modelo avançado com alta performance para aplicações diversas.",3568.95,16.46,12.77,0.55,0.74,6.89,37.41,490.41
Gabinete,Thermaltake Gabinete Modelo 779,"Gabinete da marca Thermaltake, modelo avançado com alta performance para aplicações diversas.",3664.25,19.23,9.0,3.56,1.6,6.79,40.18,513.66
Cooler,Noctua Cooler Modelo 371,"Cooler da marca Noctua, modelo avançado com alta performance para aplicações diversas.",1233.2,29.32,10.43,7.24,1.2,4.1,52.29,187.8
Gabinete,NZXT Gabinete Modelo 281,"Gabinete da marca NZXT, modelo avançado com alta performance para aplicações diversas.",5485.44,39.77,11.64,6.72,0.82,5.64,64.59,902.85
Teclado,Redragon Teclado Modelo 400,"Teclado da marca Redragon, modelo avançado com alta performance para aplicações diversas.",4136.86,34.93,9.69,4.93,1.43,5.41,56.39,646.96
Processador,AMD Processador Modelo 999,"Processador da marca AMD, modelo avançado com alta performance para aplicações diversas.",1823.03,14.76,8.95,4.81,1.09,3.26,32.87,242.23
Webcam,Logitech Webcam Modelo 245,"Webcam da marca Logitech, modelo avançado com alta performance para aplicações diversas.",884.34,14.12,14.33,0.85,1.51,4.31,35.12,119.49
Fonte,EVGA Fonte Modelo 481,"Fonte da marca EVGA, modelo avançado com alta performance para aplicações diversas.",1127.66,10.93,17.83,4.98,1.65,6.12,41.51,159.57
Suporte Monitor,Furitec Suporte Monitor Modelo 858,"Suporte Monitor da marca Furitec, modelo avançado com alta performance para aplicações diversas.",612.89,34.21,11.48,1.06,1.37,7.27,55.39,95.24
Mesa Gamer,Mymax Mesa Gamer Modelo 963,"Mesa Gamer da marca Mymax, modelo avançado com alta performance para aplicações diversas.",4149.84,17.77,16.21,3.58,0.68,3.52,41.76,588.28
Teclado,Logitech Teclado Modelo 797,"Teclado da marca Logitech, modelo avançado com alta performance para aplicações diversas.",2609.69,33.55,14.86,5.11,1.53,6.61,61.66,421.88
Mouse,Razer Mouse Modelo 291,"Mouse da marca Razer, modelo avançado com alta performance para aplicações diversas.",4979.89,19.57,10.78,2.58,0.81,5.07,38.81,691.26
Mouse,Razer Mouse Modelo 861,"Mouse da marca Razer, modelo avançado com alta performance para aplicações diversas.",3043.23,28.75,15.82,1.15,1.5,4.92,52.14,463.0
Controle Console,Sony Controle Console Modelo 756,"Controle Console da marca Sony, modelo avançado com alta performance para aplicações diversas.",2998.86,13.82,14.38,3.38,0.83,7.5,39.91,419.57
Notebook,Dell Notebook Modelo 709,"Notebook da marca Dell, modelo avançado com alta performance para aplicações diversas.",334.12,25.7,5.12,3.68,1.26,3.19,38.95,46.43
Placa de Vídeo,AMD Placa de Vídeo Modelo 398,"Placa de Vídeo da marca AMD, modelo avançado com alta performance para aplicações diversas.",1909.41,37.4,17.1,2.22,1.34,4.78,62.84,310.93
Mesa Gamer,Dazz Mesa Gamer Modelo 309,"Mesa Gamer da marca Dazz, modelo avançado com alta performance para aplicações diversas.",1009.97,18.19,11.78,6.87,0.99,6.59,44.42,145.86
Memória RAM,Corsair Memória RAM Modelo 699,"Memória RAM da marca Corsair, modelo avançado com alta performance para aplicações diversas.",883.22,29.31,7.6,4.51,0.92,3.79,46.13,129.06
Placa-mãe,ASUS Placa-mãe Modelo 290,"Placa-mãe da marca ASUS, modelo avançado com alta performance para aplicações diversas.",3246.97,25.6,11.08,7.56,1.29,5.79,51.32,491.33
Processador,AMD Processador Modelo 210,"Processador da marca AMD, modelo avançado com alta performance para aplicações diversas.",5782.08,10.9,8.41,0.23,1.41,4.23,25.18,723.8
Cooler,Cooler Master Cooler Modelo 952,"Cooler da marca Cooler Master, modelo avançado com alta performance para aplicações diversas.",3917.22,22.27,16.91,0.91,1.02,5.65,46.76,574.89
HD,Seagate HD Modelo 446,"HD da marca Seagate, modelo avançado com alta performance para aplicações diversas.",1661.47,31.02,13.2,1.04,0.68,6.9,52.84,253.94
Webcam,Microsoft Webcam Modelo 568,"Webcam da marca Microsoft, modelo avançado com alta performance para aplicações diversas.",1913.4,31.7,10.42,6.85,1.56,7.31,57.84,302.01
Notebook,Lenovo Notebook Modelo 345,"Notebook da marca Lenovo, modelo avançado com alta performance para aplicações diversas.",4903.89,19.6,7.01,0.36,1.3,4.05,32.32,648.88
Console,Sony Console Modelo 482,"Console da marca Sony, modelo avançado com alta performance para aplicações diversas.",2465.84,22.44,6.28,9.14,1.33,7.07,46.26,360.65
Processador,AMD Processador Modelo 791,"Processador da marca AMD, modelo avançado com alta performance para aplicações diversas.",3155.94,15.9,11.29,9.28,1.0,7.06,44.53,456.13
Cooler,Noctua Cooler Modelo 532,"Cooler da marca Noctua, modelo avançado com alta performance para aplicações diversas.",3697.78,10.17,9.75,2.55,0.97,6.41,29.85,480.16
Placa de Vídeo,NVIDIA Placa de Vídeo Modelo 178,"Placa de Vídeo da marca NVIDIA, modelo avançado com alta performance para aplicações diversas.",3044.59,15.68,5.67,5.07,1.41,4.13,31.96,401.76
Placa de Vídeo,NVIDIA Placa de Vídeo Modelo 128,"Placa de Vídeo da marca NVIDIA, modelo avançado com alta performance para aplicações diversas.",3396.43,12.59,5.48,4.53,1.44,3.72,27.76,433.93
Headset,Logitech Headset Modelo 955,"Headset da marca Logitech, modelo avançado com alta performance para aplicações diversas.",4979.61,13.81,12.91,7.7,1.21,6.52,42.15,707.85
Headset,Razer Headset Modelo 634,"Headset da marca Razer, modelo avançado com alta performance para aplicações diversas.",4020.62,20.0,16.39,2.73,0.93,4.87,44.92,582.67
Cooler,Noctua Cooler Modelo 410,"Cooler da marca Noctua, modelo avançado com alta performance para aplicações diversas.",357.02,27.57,12.97,2.48,1.59,3.53,48.14,52.89
SSD,Samsung SSD Modelo 734,"SSD da marca Samsung, modelo avançado com alta performance para aplicações diversas.",2686.61,18.73,6.58,9.39,0.67,3.47,38.84,373.01
Gabinete,Thermaltake Gabinete Modelo 942,"Gabinete da marca Thermaltake, modelo avançado com alta performance para aplicações diversas.",1798.31,32.66,6.61,0.2,1.5,6.53,47.5,265.25
Webcam,Logitech Webcam Modelo 929,"Webcam da marca Logitech, modelo avançado com alta performance para aplicações diversas.",3597.51,24.35,13.85,5.1,1.37,5.09,49.76,538.76
Webcam,Microsoft Webcam Modelo 731,"Webcam da marca Microsoft, modelo avançado com alta performance para aplicações diversas.",1222.84,33.75,16.02,3.57,1.05,4.04,58.43,193.74
Headset,HyperX Headset Modelo 139,"Headset da marca HyperX, modelo avançado com alta performance para aplicações diversas.",3944.77,22.39,14.56,1.07,1.47,4.61,44.1,568.44
Suporte Monitor,ELG Suporte Monitor Modelo 483,"Suporte Monitor da marca ELG, modelo avançado com alta performance para aplicações diversas.",1170.54,18.87,12.6,3.4,1.12,4.36,40.35,164.28
Fonte,EVGA Fonte Modelo 307,"Fonte da marca EVGA, modelo avançado com alta performance para aplicações diversas.",2081.77,23.25,16.51,6.15,1.13,4.78,51.82,316.05
Gabinete,Cooler Master Gabinete Modelo 700,"Gabinete da marca Cooler Master, modelo avançado com alta performance para aplicações diversas.",4278.56,24.19,11.24,1.67,1.29,7.23,45.62,623.04
Gabinete,Thermaltake Gabinete Modelo 373,"Gabinete da marca Thermaltake, modelo avançado com alta performance para aplicações diversas.",1100.16,34.47,16.28,3.14,1.46,4.86,60.21,176.26
Fonte,Corsair Fonte Modelo 971,"Fonte da marca Corsair, modelo avançado com alta performance para aplicações diversas.",758.54,13.89,12.56,7.6,1.62,6.84,42.51,108.1
Headset,Razer Headset Modelo 650,"Headset da marca Razer, modelo avançado com alta performance para aplicações diversas.",1306.1,28.37,13.89,6.12,0.82,4.67,53.87,200.97
Mesa Gamer,ThunderX3 Mesa Gamer Modelo 513,"Mesa Gamer da marca ThunderX3, modelo avançado com alta performance para aplicações diversas.",4760.19,33.66,14.46,4.85,1.0,3.04,57.01,747.4
Gabinete,Cooler Master Gabinete Modelo 785,"Gabinete da marca Cooler Master, modelo avançado com alta performance para aplicações diversas.",2232.48,34.37,13.23,5.77,0.92,6.36,60.65,358.65
SSD,WD SSD Modelo 942,"SSD da marca WD, modelo avançado com alta performance para aplicações diversas.",5826.98,25.55,14.42,9.32,1.17,5.86,56.32,910.87
Controle Console,8BitDo Controle Console Modelo 137,"Controle Console da marca 8BitDo, modelo avançado com alta performance para aplicações diversas.",1858.37,15.47,15.9,4.34,1.41,6.63,43.75,267.14
Placa de Vídeo,AMD Placa de Vídeo Modelo 742,"Placa de Vídeo da marca AMD, modelo avançado com alta performance para aplicações diversas.",5993.27,20.24,9.87,9.36,0.87,3.86,44.2,864.23
Controle Console,Sony Controle Console Modelo 643,"Controle Console da marca Sony, modelo avançado com alta performance para aplicações diversas.",2663.12,14.85,11.42,4.31,1.05,4.71,36.34,363.09
Placa de Vídeo,AMD Placa de Vídeo Modelo 247,"Placa de Vídeo da marca AMD, modelo avançado com alta performance para aplicações diversas.",2434.22,39.98,15.96,6.93,0.72,5.26,68.85,411.02
Impressora,HP Impressora Modelo 170,"Impressora da marca HP, modelo avançado com alta performance para aplicações diversas.",1650.49,17.96,15.9,8.16,1.07,7.51,50.6,248.56
Console,Sony Console Modelo 375,"Console da marca Sony, modelo avançado com alta performance para aplicações diversas.",1154.2,31.8,16.69,3.28,1.64,5.3,58.71,183.18
SSD,Kingston SSD Modelo 146,"SSD da marca Kingston, modelo avançado com alta performance para aplicações diversas.",3335.52,29.14,14.84,4.31,0.95,6.57,55.81,519.71
Mouse,Logitech Mouse Modelo 799,"Mouse da marca Logitech, modelo avançado com alta performance para aplicações diversas.",1675.55,39.13,5.48,4.35,0.88,5.83,55.67,260.83
Controle Console,Sony Controle Console Modelo 883,"Controle Console da marca Sony, modelo avançado com alta performance para aplicações diversas.",2833.39,30.89,5.52,7.03,1.16,7.41,52.01,430.7
Impressora,HP Impressora Modelo 107,"Impressora da marca HP, modelo avançado com alta performance para aplicações diversas.",5902.0,30.71,16.97,8.24,1.24,7.19,64.35,969.99
Console,Microsoft Console Modelo 266,"Console da marca Microsoft, modelo avançado com alta performance para aplicações diversas.",5890.62,11.32,11.96,0.43,1.1,6.62,31.43,774.2
Mouse,Razer Mouse Modelo 893,"Mouse da marca Razer, modelo avançado com alta performance para aplicações diversas.",4025.67,31.75,8.32,4.32,0.95,4.54,49.88,603.37
Gabinete,NZXT Gabinete Modelo 859,"Gabinete da marca NZXT, modelo avançado com alta performance para aplicações diversas.",5985.93,28.24,5.91,2.82,1.48,5.29,43.74,860.42
Memória RAM,Kingston Memória RAM Modelo 653,"Memória RAM da marca Kingston, modelo avançado com alta performance para aplicações diversas.",3998.44,24.61,15.24,8.64,1.18,6.07,55.74,622.72
Controle Console,Microsoft Controle Console Modelo 168,"Controle Console da marca Microsoft, modelo avançado com alta performance para aplicações diversas.",2935.27,16.68,14.38,4.46,1.4,6.76,43.68,421.74
Webcam,Redragon Webcam Modelo 151,"Webcam da marca Redragon, modelo avançado com alta performance para aplicações diversas.",4516.21,17.84,7.65,8.75,0.87,5.59,40.7,635.43
Cooler,Noctua Cooler Modelo 281,"Cooler da marca Noctua, modelo avançado com alta performance para aplicações diversas.",736.72,12.69,10.68,8.62,0.74,3.19,35.92,100.14
Cooler,Cooler Master Cooler Modelo 353,"Cooler da marca Cooler Master, modelo avançado com alta performance para aplicações diversas.",3003.3,38.6,14.81,9.06,1.12,7.13,70.72,512.72
Teclado,Logitech Teclado Modelo 531,"Teclado da marca Logitech, modelo avançado com alta performance para aplicações diversas.",3961.46,25.5,6.31,1.3,0.69,6.14,39.94,554.37
Console,Sony Console Modelo 160,"Console da marca Sony, modelo avançado com alta performance para aplicações diversas.",5604.59,21.34,16.37,8.08,0.95,5.22,51.96,851.67
Headset,HyperX Headset Modelo 255,"Headset da marca HyperX, modelo avançado com alta performance para aplicações diversas.",2440.39,32.51,13.31,4.77,1.45,3.85,55.89,380.43
Monitor,Samsung Monitor Modelo 199,"Monitor da marca Samsung, modelo avançado com alta performance para aplicações diversas.",3495.33,23.84,5.65,2.36,1.25,7.11,40.21,490.08
Fonte,Corsair Fonte Modelo 237,"Fonte da marca Corsair, modelo avançado com alta performance para aplicações diversas.",2744.31,32.34,9.45,6.72,1.14,7.24,56.89,430.56
HD,WD HD Modelo 973,"HD da marca WD, modelo avançado com alta performance para aplicações diversas.",2201.01,31.26,11.25,7.06,1.34,6.37,57.28,346.18
Teclado,Redragon Teclado Modelo 534,"Teclado da marca Redragon, modelo avançado com alta performance para aplicações diversas.",3334.39,13.53,12.14,7.92,0.88,5.76,40.23,467.58
Monitor,Samsung Monitor Modelo 619,"Monitor da marca Samsung, modelo avançado com alta performance para aplicações diversas.",1629.18,27.91,6.29,3.21,0.72,5.45,43.58,233.92
Processador,AMD Processador Modelo 776,"Processador da marca AMD, modelo avançado com alta performance para aplicações diversas.",4553.04,20.06,8.56,3.07,0.82,6.41,38.92,632.51
SSD,Samsung SSD Modelo 158,"SSD da marca Samsung, modelo avançado com alta performance para aplicações diversas.",1369.89,28.97,7.46,6.96,1.22,3.1,47.71,202.35
Headset,Logitech Headset Modelo 425,"Headset da marca Logitech, modelo avançado com alta performance para aplicações diversas.",5860.57,31.23,15.47,7.83,1.48,3.4,59.41,934.23
Mouse,Logitech Mouse Modelo 396,"Mouse da marca Logitech, modelo avançado com alta performance para aplicações diversas.",1134.47,20.6,11.26,4.32,1.58,3.88,41.64,160.69
Webcam,Microsoft Webcam Modelo 242,"Webcam da marca Microsoft, modelo avançado com alta performance para aplicações diversas.",2865.17,34.87,16.63,8.75,0.9,6.59,67.74,480.6
Suporte Monitor,Multivisão Suporte Monitor Modelo 400,"Suporte Monitor da marca Multivisão, modelo avançado com alta performance para aplicações diversas.",805.7,14.66,17.08,3.72,1.23,4.8,41.49,114.0
Headset,HyperX Headset Modelo 662,"Headset da marca HyperX, modelo avançado com alta performance para aplicações diversas.",5204.52,24.11,15.17,1.08,1.44,5.51,47.31,766.68
Fonte,EVGA Fonte Modelo 396,"Fonte da marca EVGA, modelo avançado com alta performance para aplicações diversas.",2100.34,32.22,7.41,1.0,1.55,7.59,49.77,314.57
Mouse,Razer Mouse Modelo 741,"Mouse da marca Razer, modelo avançado com alta performance para aplicações diversas.",606.68,19.0,12.36,8.87,0.89,6.53,47.65,89.58
Cooler,Noctua Cooler Modelo 526,"Cooler da marca Noctua, modelo avançado com alta performance para aplicações diversas.",3014.25,35.66,14.72,1.06,1.55,5.67,58.66,478.24
Processador,Intel Processador Modelo 118,"Processador da marca Intel, modelo avançado com alta performance para aplicações diversas.",5390.71,26.69,15.83,8.27,1.57,4.61,56.97,846.18
Impressora,Epson Impressora Modelo 402,"Impressora da marca Epson, modelo avançado com alta performance para aplicações diversas.",4198.5,30.66,15.86,2.12,1.3,4.06,54.0,646.57
Mesa Gamer,Dazz Mesa Gamer Modelo 252,"Mesa Gamer da marca Dazz, modelo avançado com alta performance para aplicações diversas.",5072.38,20.75,5.11,2.32,1.43,5.54,35.15,685.53
Fonte,Corsair Fonte Modelo 591,"Fonte da marca Corsair, modelo avançado com alta performance para aplicações diversas.",1961.1,36.49,6.89,4.36,0.8,4.46,53.0,300.05
Controle Console,Microsoft Controle Console Modelo 950,"Controle Console da marca Microsoft, modelo avançado com alta performance para aplicações diversas.",1344.3,38.85,13.46,9.08,1.12,6.25,68.76,226.86
Headset,HyperX Headset Modelo 477,"Headset da marca HyperX, modelo avançado com alta performance para aplicações diversas.",4938.71,18.37,17.59,3.37,0.86,6.61,46.8,725.0
Controle Console,Sony Controle Console Modelo 154,"Controle Console da marca Sony, modelo avançado com alta performance para aplicações diversas.",5154.79,39.96,13.76,9.83,1.1,3.67,68.32,867.65
Webcam,Redragon Webcam Modelo 940,"Webcam da marca Redragon, modelo avançado com alta performance para aplicações diversas.",4231.51,26.32,14.7,0.65,0.84,6.65,49.16,631.17
SSD,Samsung SSD Modelo 738,"SSD da marca Samsung, modelo avançado com alta performance para aplicações diversas.",1262.18,18.73,17.02,7.3,0.68,3.36,47.09,185.65
Controle Console,Microsoft Controle Console Modelo 683,"Controle Console da marca Microsoft, modelo avançado com alta performance para aplicações diversas.",3398.78,18.87,8.27,1.99,0.98,4.63,34.74,457.95
Teclado,Redragon Teclado Modelo 873,"Teclado da marca Redragon, modelo avançado com alta performance para aplicações diversas.",3253.33,33.25,11.17,6.78,1.14,6.08,58.42,515.39
SSD,Kingston SSD Modelo 863,"SSD da marca Kingston, modelo avançado com alta performance para aplicações diversas.",5908.43,23.61,13.69,6.92,0.83,3.07,48.12,875.16
Processador,AMD Processador Modelo 840,"Processador da marca AMD, modelo avançado com alta performance para aplicações diversas.",4371.34,15.13,9.28,6.69,1.28,5.59,37.97,603.11
Controle Console,Microsoft Controle Console Modelo 477,"Controle Console da marca Microsoft, modelo avançado com alta performance para aplicações diversas.",2724.01,32.97,5.79,5.35,0.72,6.51,51.34,412.25
